Time (s),Commanded (deg),SPI (deg),Error (deg)
48.283626317977905,0.7206302109886619,0.7962062358856201,-0.07557602489695825
48.52689290046692,0.6335162695716409,0.7074429988861084,-0.07392672931446753
48.77162170410156,0.5452819852267995,0.6202983856201172,-0.0750164003933177
49.01210165023804,0.45986160110024843,0.534459114074707,-0.0745975129744586
49.26156997680664,0.36942045828875375,0.44486045837402344,-0.07544000008526969
49.504841327667236,0.27892310479108023,0.35442638397216797,-0.07550327918108773
49.7623565196991,0.19244902274187872,0.2679605484008789,-0.07551152565900018
50.00466465950012,0.10626575526069193,0.1808159351348877,-0.07455017987419577
50.25054097175598,0.01813059694626752,0.09163498878479004,-0.07350439183852252
50.49165916442871,-0.002620402504416073,0.06829547882080078,-0.07091588132521685
50.7315878868103,-0.005141300313612994,0.06594586372375488,-0.07108716403736788
50.96911644935608,-0.0057599544525146484,0.06505823135375977,-0.07081818580627441
51.208860874176025,-0.006024346632115981,0.06453609466552734,-0.07056044129764333
51.44553303718567,-0.006148212096270393,0.06422281265258789,-0.07037102474885829
51.68573045730591,-0.00621940107906566,0.06406617164611816,-0.07028557272518382
51.92277002334595,-0.006218727897195255,0.06390953063964844,-0.0701282585368437
52.16176080703735,-0.006218727897195255,0.06380510330200195,-0.07002383119919721
52.40142822265625,-0.006218727897195255,0.06370067596435547,-0.06991940386155072
52.64059114456177,-0.006218727897195255,0.06359624862670898,-0.06981497652390424
52.8829448223114,-0.006218727897195255,0.06343960762023926,-0.06965833551743451
53.134613275527954,-0.006218727897195255,0.06354403495788574,-0.069762762855081
